id,curso,modalidade
UNB-2_190a5f61ab88b90703f542a09b86d284,LETRAS PORTUGUÊS,Bacharelado
UNB-2_94133d5a31237352d27d64177250a64a,AGRONOMIA,Bacharelado
UNB-2_f7b5b5be3a9e82264d61d3fa7174260e,AGRONOMIA,Bacharelado
UNB-2_4a21ab4912b41cb076cb80ec9b28b1c6,LETRAS PORTUGUÊS E RESPECTIVAS LITERATURAS,Licenciatura
UNB-2_da0de22a04f9cbf89b0675af7939027f,AGRONOMIA,Bacharelado
UNB-2_504ef18eb1aab71800348f47eae3129e,AGRONOMIA,Bacharelado
UNB-2_6d7255f3dd2783ea1625be8089da009d,AGRONOMIA,Bacharelado
UNB-2_7ff17bff6a0a0e67295a7af992ce3352,AGRONOMIA,Bacharelado
UNB-2_ba1ba6acf83d4077b7f819c69434bcd5,AGRONOMIA,Bacharelado
UNB-2_f4cf90674f118c9d51a4637f94c4b9d7,LETRAS PORTUGUÊS,Licenciatura
UNB-2_ee2050c9d58bc0a4cf112590ece10470,AGRONOMIA,Bacharelado
UNB-2_0729a205dde3f3a9c035ce47ce7bf936,AGRONOMIA,Bacharelado
UNB-2_b3d8273f7a3a41e05931baf33eb4a6f1,AGRONOMIA,Bacharelado
UNB-2_f870be055b305d2bc4f4694ff6b10c39,AGRONOMIA,Bacharelado
UNB-2_eff697ca080605c8d70c79f42f55f15e,LETRAS PORTUGUÊS,Bacharelado
UNB-2_e4c9d24252c5fdee75312a599443e9f8,LETRAS PORTUGUÊS,Bacharelado
UNB-2_2dd2b908c20aa934a7d0a6a0920f72bd,LETRAS PORTUGUÊS E RESPECTIVAS LITERATURAS,Licenciatura
UNB-2_4200634653fef3c6609545cccd457cd3,LETRAS PORTUGUÊS,Licenciatura
UNB-2_e0f603f45c7b611ce5f758809db3841a,AGRONOMIA,Bacharelado
UNB-2_21a4dab55e0355840a085a1ecd6f8798,AGRONOMIA,Bacharelado
UNB-2_ea5eacd967934e3330514cc77e3455aa,AGRONOMIA,Bacharelado
UNB-2_f13f010d747bc26fc282efae9d4edbc9,AGRONOMIA,Bacharelado
UNB-2_6c9fdcf2a77f0406b365177db923615f,AGRONOMIA,Bacharelado
UNB-2_b841c7b6562cd27c09cd1feaedf9d594,AGRONOMIA,Bacharelado
UNB-2_1220d86771349836930c4c6c66799b37,DIREITO,Bacharelado
UNB-2_5a2193e720185a46a610132283992f84,AGRONOMIA,Bacharelado
UNB-2_8ca711de8bcfc9c4f86a6d4e9db5754d,LETRAS PORTUGUÊS,Bacharelado
UNB-2_376110f8b024df82dcb768ea98279b2b,AGRONOMIA,Bacharelado
UNB-2_b7cd8c07a39481b6ceae9e6a5edb0855,AGRONOMIA,Bacharelado
UNB-2_0485c1547a0c5e1dbcd34a7602ed0a08,AGRONOMIA,Bacharelado
UNB-2_7f466b1bd1a56646bc0227a703dbe8b3,AGRONOMIA,Bacharelado
UNB-2_36cac9182ca4a034dcc1677dc6f30339,AGRONOMIA,Bacharelado
UNB-2_b8a8cf51177f22fbf2c5c260f71ab803,LETRAS FRANCÊS,Bacharelado
UNB-2_b0e5c81380047c21cd7cd4dbe8de3a4d,LETRAS FRANCÊS,Bacharelado
