Docente,Categoria,Programa,Idlattes
Norai Romeu Rocco,Colaborador,Matemática,0000507838194708
Andrea de Oliveira Goncalves,Colaborador,Administração,0002528252697017
Andrea de Oliveira Goncalves,Permanente,Ciências Contábeis,0002528252697017
Sarah Christina Caldas Oliveira,Permanente,Profbio Ensino de Biologia Em Rede Nacional,0010973626622666
Monalisa Ferreira Azevedo,Colaborador,Ciências da Saúde,0017467628165816
Maria Marcia Murta,Permanente,Ensino de Ciências,0019265067855569
Graciella Watanabe,Permanente,Educação,0022322386442215
Livia Freitas Fonseca Borges,Permanente,Educação,0033979153338712
Cristiane Roscoe Bessa,Permanente,Estudos de Tradução,0039122901216440
Ludivine Eloy Costa Pereira,Permanente,Desenvolvimento Sustentável,0040545280066912
Rogerio Cesar Dos Santos,Permanente,Matemática Em Rede Nacional,0041767607288381
Ana Cristina Barreto Bezerra,Permanente,Ciências da Saúde,0048105741598417
Ana Cristina Barreto Bezerra,Permanente,Odontologia,0048105741598417
Izelda Maria Carvalho Costa,Colaborador,Ciencias Medicas,0056945699042193
Andreia de Oliveira,Permanente,Política Social,0056976365794825
Aline Albuquerque Sant Anna de Oliveira,Permanente,Bioética,0059746882420074
Regina Coelly Fernandes Saraiva,Permanente,Desenvolvimento Sustentável,0071166665596505
Regina Coelly Fernandes Saraiva,Permanente,Meio Ambiente e Desenvolvimento Rural,0071166665596505
Jaime Martins de Santana,Permanente,Ciencias Medicas,0080556850353422
Jaime Martins de Santana,Permanente,Patologia Molecular,0080556850353422
Janaina de Aquino Ferraz,Permanente,Lingüística,0088857026086833
Janaina de Aquino Ferraz,Permanente,Lingüística Aplicada,0088857026086833
Napoleao Fonseca Valadares,Permanente,Biologia Microbiana,0098666202802214
Silvia Maria Ferreira Guimaraes,Permanente,Antropologia,0099860141022736
Silvia Maria Ferreira Guimaraes,Permanente,Ciências e Tecnologias Em Saúde,0099860141022736
Silvia Maria Ferreira Guimaraes,Permanente,Desenvolvimento Sustentável,0099860141022736
Martino Giorgioni,Permanente,Geologia,0105689257770757
Raul Dario Durand Farfan,Permanente,Estruturas e Construção Civil,0114590899370183
Biagio Mauricio Avena,Permanente,Turismo,0115084799647210
Valeria Regina Bellotto,Permanente,Tecnologias Química e Biológica,0115124958520241
Rodrigo Andres de Souza Penaloza,Permanente,Economia,0121460167624518
